date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
2022-04-05T00:00:00,4540.0,4550.0,4550.0,4550.0,4500.0,4520.0,-20.0,52172300.0,235537117000.0,9123.0,2375.4,4520.0,4004400.0,4510.0,38100.0,99062216600.0,99062216600.0,47401270643.0,22665500.0,21509700.0,,3638641.0,16431866820.0,7.0
2022-04-06T00:00:00,4520.0,4490.0,4490.0,4500.0,4420.0,4430.0,-90.0,108368800.0,482615696000.0,15650.0,2328.1,4440.0,101400.0,4430.0,552100.0,99062216600.0,99062216600.0,47401270643.0,55637400.0,48436100.0,,3890312.0,17350870985.0,35.0
2022-04-07T00:00:00,4430.0,4450.0,4450.0,4540.0,4440.0,4540.0,110.0,143921800.0,649668852000.0,11190.0,2385.9,4540.0,5289900.0,4530.0,20100.0,99062216600.0,99062216600.0,47401270643.0,63906100.0,93834400.0,,4377596.0,19568888800.0,15.0
2022-04-08T00:00:00,4540.0,4580.0,4580.0,4610.0,4560.0,4580.0,40.0,161974500.0,742070296000.0,11342.0,2406.9,4580.0,7686400.0,4570.0,8600.0,99062216600.0,99062216600.0,47401270643.0,76340600.0,139743100.0,,11227394.0,51099759084.0,12.0
2022-04-11T00:00:00,4580.0,4610.0,4600.0,4610.0,4550.0,4590.0,10.0,90521500.0,414147154000.0,9346.0,2412.2,4590.0,1931900.0,4580.0,116000.0,99062216600.0,99062216600.0,47401270643.0,22560400.0,58818300.0,,20979716.0,96070550520.0,48.0
2022-04-12T00:00:00,4590.0,4620.0,4620.0,4630.0,4580.0,4630.0,40.0,187948000.0,865929708000.0,10112.0,2433.2,4630.0,4142500.0,4620.0,83100.0,99062216600.0,99062216600.0,47401270643.0,88430400.0,161825100.0,,60963003.0,278860457990.0,14.0
2022-04-13T00:00:00,4630.0,4700.0,4690.0,4720.0,4650.0,4690.0,60.0,196864200.0,924386548000.0,12019.0,2464.7,4700.0,517300.0,4690.0,5513700.0,99062216600.0,99062216600.0,47401270643.0,40198200.0,129008800.0,,55333700.0,255644492079.0,37.0
2022-04-14T00:00:00,4690.0,4700.0,4710.0,4730.0,4660.0,4680.0,-10.0,112735200.0,529030845000.0,7865.0,2459.5,4690.0,16030700.0,4680.0,5386800.0,99062216600.0,99062216600.0,47401270643.0,47012700.0,101609500.0,,33653988.0,157872248180.0,26.0
2022-04-18T00:00:00,4680.0,4720.0,4720.0,4730.0,4690.0,4710.0,30.0,120778200.0,568553852000.0,7200.0,2475.2,4720.0,1684800.0,4710.0,6013500.0,99062216600.0,99062216600.0,47401270643.0,22373700.0,87043900.0,,7709944.0,36198184940.0,31.0
2022-04-19T00:00:00,4710.0,4740.0,4720.0,4750.0,4680.0,4680.0,-30.0,92268300.0,433306960000.0,7770.0,2459.5,4700.0,3023900.0,4680.0,357500.0,99062216600.0,99062216600.0,47401270643.0,36542300.0,63146600.0,,29356437.0,138044468660.0,94.0
2022-04-20T00:00:00,4680.0,4680.0,4680.0,4690.0,4620.0,4630.0,-50.0,88360900.0,411231018000.0,10719.0,2433.2,4640.0,4100.0,4630.0,3048300.0,99062216600.0,99062216600.0,47401270643.0,50018200.0,37712000.0,,5821402.0,27094569450.0,19.0
2022-04-21T00:00:00,4630.0,4620.0,4620.0,4670.0,4600.0,4620.0,-10.0,97575800.0,450894430000.0,9398.0,2427.9,4630.0,500.0,4620.0,101800.0,99062216600.0,99062216600.0,47401270643.0,55624300.0,64240200.0,,21367563.0,99283245119.0,41.0
2022-04-22T00:00:00,4620.0,4620.0,4620.0,4680.0,4580.0,4620.0,0.0,101299100.0,468192776000.0,10548.0,2427.9,4630.0,1690300.0,4620.0,2300.0,99062216600.0,99062216600.0,47401270643.0,42939100.0,62751200.0,,38631238.0,178423717308.0,26.0
